Filename,Word Count
"A inventat Șoșoliberalismul： Rareș Bogdan, imaginea demagogiei în România ｜ Starea Impostorilor #50_transcript.txt",2579
"AUR, Neamțu, Ciuhodaru. Pârțuri & oximoroane. Personaje lovite de nulitate ｜ Starea Impostorilor #60_transcript.txt",4464
Analiză comparativă a candidaților cu șanse +Șandru. Mesaj pentru nehotărâți. Starea Impostorilor 99_transcript.txt,4565
"Anca Alexandrescu, Realitatea TV. O viață lângă comuniști, lepre & scursuri ｜ Starea Impostorilor 49_transcript.txt",2696
Anca “Marș” Alexandrescu. Portavocea primului sonat al țării. Partea a 2-a ｜ Starea Impostorilor #88_transcript.txt,3285
Băieții deștepți din jurul lui Sebastian Burduja. Plini de energie! Siktiruț! Starea Impostorilor 75_transcript.txt,2658
"Bruxellezul PNL Dan Motreanu, doamna Motreanu și asociații lor nesecuriști ｜ Starea Impostorilor #61_transcript.txt",3193
"Candidații coaliției PSD-PNL-SRI la Sectorul 1. Tuță, Melciu & alte vietăți ｜ Starea Impostorilor 58_transcript.txt",3810
Călin Georgescu și banii lui Soros. Fascinația pentru sonați mesianici ｜ Starea Impostorilor #85_transcript.txt,4451
"Cel mai capabil pensionar din țară？ Servicii, masonerie, CA-uri, milioane! ｜ Starea Impostorilor #44_transcript.txt",877
"Cine mai e și Valeriu Nicolae ăsta？ Documente zdrobitoare, mărturii, cecuri! Starea Impostorilor #74_transcript.txt",3984
"Cine minte cu sondajele de opinie： securiști, infractori, propagandiști ｜ Starea Impostorilor #70 P1_transcript.txt",4281
"Ciolacu umblă cu guvernul vopsit. Lista noilor miniștri, lista rușinii ｜ Starea Impostorilor #84_transcript.txt",4645
Ciucă e creația PSD-ului. Cine poate să-l retragă pe bolovanul fără memorie ｜ Starea Impostorilor 79_transcript.txt,3007
"Comisia parlamentară “Dacă ei fură, furăm și noi!”. Bejinariu, Neagu, Fifor ｜ Starea Impostorilor 90_transcript.txt",3961
Cozmin Gușă ⧸ Dezbateri cu duhoare de Piedone ⧸ Cu Prostănacu’ la Moscova ｜ Starea Impostorilor #80_transcript.txt,3610
"Cringe Antonescu. Oportunist, chiulangiu, blablagiu. Georgist și pontist ｜ Starea Impostorilor #94_transcript.txt",4510
"DNA latră, PNL merge cu Dumitrescu-Lamborghini. Prahova, pământ albanez ｜ Starea Impostorilor #59_transcript.txt",3326
Dan Puric. Pui de acvilă. Pescuind cu Zamolxes. Câte prostii zice pe secundă! Starea Impostorilor 57_transcript.txt,3865
Degradarea acoperitului Turcescu. Securescu trompetescu amenință cu Coldea ｜ Starea Impostorilor #77_transcript.txt,3242
"Diana Șoșoacă： sora lui Mozart, fiica lui James Bond. Regina amazoanelor😱 ｜ Starea Impostorilor #48_transcript.txt",2532
Discursul Ciolanului. Sfaturi și explicații pentru cine nu pricepe. Gratis! Starea Impostorilor #93_transcript.txt,1925
"Elena Lasconi. Momentan, la “vorbe, nu fapte”. Ce o deosebește de Drulău ｜ Starea Impostorilor #73_transcript.txt",3900
Elitele imposturii liberale din Moldova. Familia Fenechiu-Alexe-Cozmanciuc ｜ Starea Impostorilor #38_transcript.txt,1670
